node,degree_centrality,betweenness_centrality,eigenvector_centrality
Guerrero2006Serial_Intervention_in,0.011627906976744186,0.0,
Schultz2012Tonal_Pairing_and,0.023255813953488372,0.0,3.164137409541805e-08
10.30535/mto.17.3.8,0.046511627906976744,0.0,1.43651838393198e-05
10.30535/mto.17.1.8,0.05813953488372093,0.0,0.003296746408375696
"Koozin1999On_Metaphor,_Technology,",0.011627906976744186,0.0,
Neidhöfer2007Bruno_Maderna’s_Serial,0.011627906976744186,0.0,
Kuusi2009Discrimination_and_Evaluation,0.011627906976744186,0.0,
Kuusi2003The_Role_of,0.011627906976744186,0.0,
Cumming2013Renaissance_Improvisation_and,0.05813953488372093,0.0,
Nooshin2013Beyond_the_<i>Radif</i>:,0.05813953488372093,0.0,
10.30535/mto.18.3.7,0.023255813953488372,0.0,
Rahn1994From_Similarity_to,0.011627906976744186,0.0,
Robison1995Category_Structures_and,0.011627906976744186,0.0,
Leydon2012Clean_as_a,0.023255813953488372,0.0,
10.30535/mto.15.5.1,0.011627906976744186,0.0,
Attas2009Metaphors_in_Motion:,0.011627906976744186,0.0,
10.30535/mto.18.3.4,0.023255813953488372,0.0,
Roeder1993Toward_a_Semiotic,0.011627906976744186,0.0,
Moseley2013Entextualization_and_the,0.11627906976744186,0.0,
10.30535/mto.17.3.3,0.023255813953488372,0.0,2.8698726304544192e-05
10.30535/mto.12.2.2.,0.011627906976744186,0.0,1.43651838393198e-05
Anku2000Circles_and_Time:,0.023255813953488372,0.0,
10.30535/mto.18.3.6.,0.03488372093023256,0.0,
Ewell2012Rethinking_Octatonicism:_Views,0.011627906976744186,0.0,
Kallis2008Principles_of_Pitch,0.011627906976744186,0.0,
10.30535/mto.18.4.3,0.011627906976744186,0.0,
Dodson2012Solutions_to_the,0.011627906976744186,0.0,
"Gur2008Body,_Forces,_and",0.011627906976744186,0.0,
Buchler2007Reconsidering_Klumpenhouwer_Networks,0.011627906976744186,0.0,
Demske1995On_Considering_a,0.011627906976744186,0.0,
Kochavi2012Review_of_Edward,0.011627906976744186,0.0,
Townsend2012Scriabin_and_the,0.011627906976744186,0.0,
Hood2012Ambiguity_of_Tonal,0.011627906976744186,0.0,
Littlefield1994Code_and_Context:,0.011627906976744186,0.0,
10.30535/mto.12.4.2,0.023255813953488372,0.0,
10.30535/mto.17.4.3,0.023255813953488372,0.0,3.164137409541805e-08
10.30535/mto.19.4.2,0.03488372093023256,0.0,3.164137409541805e-08
Roeder2009Constructing_Transformational_Signification:,0.011627906976744186,0.0,
10.30535/mto.7.2.1,0.011627906976744186,0.0,
Samarotto2009“Plays_of_Opposing,0.011627906976744186,0.0,
10.30535/mto.17.3.6,0.011627906976744186,0.0,
10.30535/mto.15.5.2,0.023255813953488372,0.0,2.8698726304544192e-05
10.30535/mto.14.2.3,0.011627906976744186,0.0,
Cramer2003The_Harmonic_Function,0.011627906976744186,0.0,
10.30535/mto.7.1.1,0.011627906976744186,0.0,
Marion2007Debussy_and_Recollection:,0.011627906976744186,0.0,
Love2012“Possible_Paths”:_Schemata,0.011627906976744186,0.0,
Auerbach2010Pedagogical_Applications_of,0.011627906976744186,0.0,
Sheehy2013Introduction:_Theorizing_Improvisation,0.08139534883720931,0.0,
10.30535/mto.18.3.9,0.011627906976744186,0.0,
Samplaski2005Mapping_the_Geometries,0.011627906976744186,0.0,
Lewis2013Critical_Responses_to,0.11627906976744186,0.0,
"Sayrs2003Narrative,_Metaphor,_and",0.011627906976744186,0.0,1.43651838393198e-05
Zbikowski1995Theories_of_Categorization,0.023255813953488372,0.0,
Donin2008Charting_the_Score,0.011627906976744186,0.0,
Bent1996Diatonic_<i>ficta</i>_revisited:,0.011627906976744186,0.0,
10.30535/mto.4.1.1,0.03488372093023256,0.0,
Reed2007A_Tetrahelix_Animates,0.023255813953488372,0.0,
Dodson2002Performance_and_Hypermetric,0.011627906976744186,0.0,
10.30535/mto.18.4.4,0.011627906976744186,0.0,
Cox2013Review_of_Steve,0.011627906976744186,0.0,
Roeder2001Pulse_Streams_and,0.011627906976744186,0.0,
10.30535/mto.17.3.2,0.046511627906976744,0.005494505494505495,0.0032824128659104733
"Zbikowski1995Response_to_Robison,",0.011627906976744186,0.0,
Littlefield1996The_Silence_of,0.011627906976744186,0.0,
Everett2004Making_Sense_of,0.08139534883720931,0.0,0.999989177422726
Chenette2012Hearing_Counterpoint_Within,0.011627906976744186,0.0,
10.30535/mto.19.3.2,0.011627906976744186,0.0,3.164137409541805e-08
Hermann1995Towards_a_New,0.023255813953488372,0.0,
Samplaski2004Interval-Classes_and_Psychological,0.011627906976744186,0.0,
Maler2013Songs_for_Hands:,0.06976744186046512,0.0,3.164137409541805e-08
Blake2012Timbre_as_Differentiation,0.011627906976744186,0.0,
Rusch2013Beyond_Homage_and,0.011627906976744186,0.0,
Ewell2013“On_the_System,0.011627906976744186,0.0,
10.30535/mto.20.3.8,0.011627906976744186,0.0,3.164137409541805e-08
Klumpenhouwer1994Some_Remarks_on,0.011627906976744186,0.0,
"Sheehy2013Improvisation,_Analysis,_and",0.11627906976744186,0.0,
10.30535/mto.16.4.4.,0.046511627906976744,0.0,
Steinbeck2013Improvisational_Fictions,0.11627906976744186,0.0,
Rothgeb1995The_Tristan_Chord:,0.011627906976744186,0.0,
Endrinal2013Review_of_Allan,0.011627906976744186,0.0,3.164137409541805e-08
Nettl2013Contemplating_the_Concept,0.05813953488372093,0.0,
Losada2007K-nets_and_Hierarchical,0.011627906976744186,0.0,
Urista2003Beyond_Words:_The,0.011627906976744186,0.0,
10.30535/mto.7.6.1,0.023255813953488372,0.0,
10.30535/mto.19.2.2,0.08139534883720931,0.0,
10.30535/mto.19.4.3,0.011627906976744186,0.0,
