time,type,source,target,score
1993_1998,birth,,1993_1998_C9,
1993_1998,birth,,1993_1998_C4,
1993_1998,birth,,1993_1998_C1,
1993_1998,birth,,1993_1998_C8,
1993_1998,birth,,1993_1998_C2,
1993_1998,birth,,1993_1998_C5,
1993_1998,birth,,1993_1998_C3,
1993_1998,birth,,1993_1998_C7,
1993_1998,birth,,1993_1998_C11,
1993_1998,birth,,1993_1998_C6,
1993_1998,birth,,1993_1998_C10,
1993_1998,birth,,1993_1998_C12,
1998_2003,split,1993_1998_C3,"['1998_2003_C3', '1998_2003_C5']","[0.16, 0.6666666666666666]"
1998_2003,survive,1993_1998_C9,1998_2003_C11,1.0
1998_2003,survive,1993_1998_C4,1998_2003_C6,1.0
1998_2003,survive,1993_1998_C1,1998_2003_C2,0.9375
1998_2003,survive,1993_1998_C2,1998_2003_C4,0.8571428571428571
1998_2003,survive,1993_1998_C5,1998_2003_C8,1.0
1998_2003,survive,1993_1998_C7,1998_2003_C10,1.0
1998_2003,survive,1993_1998_C11,1998_2003_C14,1.0
1998_2003,survive,1993_1998_C6,1998_2003_C9,1.0
1998_2003,survive,1993_1998_C10,1998_2003_C13,1.0
1998_2003,survive,1993_1998_C12,1998_2003_C16,1.0
1998_2003,death,1993_1998_C8,,
1998_2003,merge,"['1993_1998_C8', '1993_1998_C3']",1998_2003_C3,"[0.29411764705882354, 0.16]"
1998_2003,birth,,1998_2003_C1,
1998_2003,birth,,1998_2003_C7,
1998_2003,birth,,1998_2003_C5,
1998_2003,birth,,1998_2003_C12,
1998_2003,birth,,1998_2003_C15,
1998_2003,birth,,1998_2003_C17,
1998_2003,birth,,1998_2003_C18,
1998_2003,birth,,1998_2003_C19,
1998_2003,birth,,1998_2003_C20,
2003_2008,survive,1998_2003_C11,2003_2008_C12,1.0
2003_2008,survive,1998_2003_C1,2003_2008_C1,0.88
2003_2008,survive,1998_2003_C7,2003_2008_C7,1.0
2003_2008,survive,1998_2003_C2,2003_2008_C2,0.5384615384615384
2003_2008,survive,1998_2003_C3,2003_2008_C3,0.7619047619047619
2003_2008,survive,1998_2003_C8,2003_2008_C10,1.0
2003_2008,survive,1998_2003_C5,2003_2008_C5,1.0
2003_2008,survive,1998_2003_C4,2003_2008_C6,0.6153846153846154
2003_2008,survive,1998_2003_C10,2003_2008_C11,0.7142857142857143
2003_2008,survive,1998_2003_C14,2003_2008_C14,1.0
2003_2008,survive,1998_2003_C9,2003_2008_C8,0.7142857142857143
2003_2008,survive,1998_2003_C13,2003_2008_C13,1.0
2003_2008,survive,1998_2003_C16,2003_2008_C18,1.0
2003_2008,survive,1998_2003_C15,2003_2008_C16,1.0
2003_2008,survive,1998_2003_C17,2003_2008_C20,1.0
2003_2008,survive,1998_2003_C18,2003_2008_C22,1.0
2003_2008,survive,1998_2003_C19,2003_2008_C23,1.0
2003_2008,survive,1998_2003_C20,2003_2008_C25,1.0
2003_2008,death,1998_2003_C6,,
2003_2008,death,1998_2003_C12,,
2003_2008,merge,"['1998_2003_C6', '1998_2003_C2']",2003_2008_C2,"[0.3333333333333333, 0.5384615384615384]"
2003_2008,birth,,2003_2008_C17,
2003_2008,birth,,2003_2008_C4,
2003_2008,birth,,2003_2008_C9,
2003_2008,birth,,2003_2008_C19,
2003_2008,birth,,2003_2008_C21,
2003_2008,birth,,2003_2008_C24,
2003_2008,birth,,2003_2008_C15,
2008_2013,survive,2003_2008_C17,2008_2013_C8,1.0
2008_2013,survive,2003_2008_C4,2008_2013_C3,0.5789473684210527
2008_2013,survive,2003_2008_C9,2008_2013_C4,1.0
2008_2013,survive,2003_2008_C10,2008_2013_C5,1.0
2008_2013,survive,2003_2008_C14,2008_2013_C6,1.0
2008_2013,survive,2003_2008_C18,2008_2013_C11,1.0
2008_2013,survive,2003_2008_C19,2008_2013_C12,1.0
2008_2013,survive,2003_2008_C20,2008_2013_C13,1.0
2008_2013,survive,2003_2008_C21,2008_2013_C14,1.0
2008_2013,survive,2003_2008_C22,2008_2013_C15,1.0
2008_2013,survive,2003_2008_C23,2008_2013_C16,1.0
2008_2013,survive,2003_2008_C24,2008_2013_C17,1.0
2008_2013,survive,2003_2008_C25,2008_2013_C18,1.0
2008_2013,survive,2003_2008_C15,2008_2013_C7,1.0
2008_2013,death,2003_2008_C12,,
2008_2013,death,2003_2008_C2,,
2008_2013,death,2003_2008_C1,,
2008_2013,death,2003_2008_C7,,
2008_2013,death,2003_2008_C3,,
2008_2013,death,2003_2008_C5,,
2008_2013,death,2003_2008_C11,,
2008_2013,death,2003_2008_C6,,
2008_2013,death,2003_2008_C8,,
2008_2013,death,2003_2008_C13,,
2008_2013,death,2003_2008_C16,,
2008_2013,merge,"['2003_2008_C2', '2003_2008_C1', '2003_2008_C3']",2008_2013_C2,"[0.20689655172413793, 0.21551724137931033, 0.1724137931034483]"
2008_2013,birth,,2008_2013_C1,
2008_2013,birth,,2008_2013_C9,
2008_2013,birth,,2008_2013_C10,
2013_2018,survive,2008_2013_C2,2013_2018_C2,1.0
2013_2018,survive,2008_2013_C8,2013_2018_C8,1.0
2013_2018,survive,2008_2013_C3,2013_2018_C3,0.8444444444444444
2013_2018,survive,2008_2013_C9,2013_2018_C9,1.0
2013_2018,survive,2008_2013_C4,2013_2018_C4,1.0
2013_2018,survive,2008_2013_C5,2013_2018_C5,1.0
2013_2018,survive,2008_2013_C6,2013_2018_C6,1.0
2013_2018,survive,2008_2013_C10,2013_2018_C10,1.0
2013_2018,survive,2008_2013_C11,2013_2018_C11,1.0
2013_2018,survive,2008_2013_C12,2013_2018_C12,1.0
2013_2018,survive,2008_2013_C13,2013_2018_C13,1.0
2013_2018,survive,2008_2013_C14,2013_2018_C14,1.0
2013_2018,survive,2008_2013_C15,2013_2018_C15,1.0
2013_2018,survive,2008_2013_C16,2013_2018_C16,1.0
2013_2018,survive,2008_2013_C17,2013_2018_C17,1.0
2013_2018,survive,2008_2013_C18,2013_2018_C18,1.0
2013_2018,survive,2008_2013_C7,2013_2018_C7,1.0
2013_2018,death,2008_2013_C1,,
2013_2018,birth,,2013_2018_C1,
2018_2023,split,2013_2018_C1,"['2018_2023_C2', '2018_2023_C1']","[0.3954248366013072, 0.4584717607973422]"
2018_2023,survive,2013_2018_C2,2018_2023_C4,1.0
2018_2023,survive,2013_2018_C8,2018_2023_C9,1.0
2018_2023,survive,2013_2018_C9,2018_2023_C10,1.0
2018_2023,survive,2013_2018_C4,2018_2023_C5,1.0
2018_2023,survive,2013_2018_C5,2018_2023_C6,1.0
2018_2023,survive,2013_2018_C6,2018_2023_C7,1.0
2018_2023,survive,2013_2018_C10,2018_2023_C12,1.0
2018_2023,survive,2013_2018_C11,2018_2023_C13,1.0
2018_2023,survive,2013_2018_C12,2018_2023_C14,1.0
2018_2023,survive,2013_2018_C13,2018_2023_C15,1.0
2018_2023,survive,2013_2018_C14,2018_2023_C16,1.0
2018_2023,survive,2013_2018_C15,2018_2023_C17,1.0
2018_2023,survive,2013_2018_C16,2018_2023_C18,1.0
2018_2023,survive,2013_2018_C17,2018_2023_C19,1.0
2018_2023,survive,2013_2018_C18,2018_2023_C20,1.0
2018_2023,survive,2013_2018_C7,2018_2023_C8,1.0
2018_2023,death,2013_2018_C3,,
2018_2023,merge,"['2013_2018_C3', '2013_2018_C1']",2018_2023_C2,"[0.2710843373493976, 0.3954248366013072]"
2018_2023,birth,,2018_2023_C1,
2018_2023,birth,,2018_2023_C3,
2018_2023,birth,,2018_2023_C11,
2023_2028,split,2018_2023_C1,"['2023_2028_C1', '2023_2028_C3']","[0.19767441860465115, 0.5561797752808989]"
2023_2028,survive,2018_2023_C4,2023_2028_C4,1.0
2023_2028,survive,2018_2023_C9,2023_2028_C9,1.0
2023_2028,survive,2018_2023_C2,2023_2028_C1,0.7094017094017094
2023_2028,survive,2018_2023_C10,2023_2028_C10,1.0
2023_2028,survive,2018_2023_C3,2023_2028_C2,0.743455497382199
2023_2028,survive,2018_2023_C11,2023_2028_C11,1.0
2023_2028,survive,2018_2023_C5,2023_2028_C5,1.0
2023_2028,survive,2018_2023_C6,2023_2028_C6,1.0
2023_2028,survive,2018_2023_C7,2023_2028_C7,1.0
2023_2028,survive,2018_2023_C12,2023_2028_C14,1.0
2023_2028,survive,2018_2023_C13,2023_2028_C15,1.0
2023_2028,survive,2018_2023_C14,2023_2028_C16,1.0
2023_2028,survive,2018_2023_C15,2023_2028_C17,1.0
2023_2028,survive,2018_2023_C16,2023_2028_C18,1.0
2023_2028,survive,2018_2023_C17,2023_2028_C19,1.0
2023_2028,survive,2018_2023_C18,2023_2028_C20,1.0
2023_2028,survive,2018_2023_C19,2023_2028_C21,1.0
2023_2028,survive,2018_2023_C20,2023_2028_C22,1.0
2023_2028,survive,2018_2023_C8,2023_2028_C8,1.0
2023_2028,merge,"['2018_2023_C2', '2018_2023_C1']",2023_2028_C1,"[0.7094017094017094, 0.19767441860465115]"
2023_2028,birth,,2023_2028_C3,
2023_2028,birth,,2023_2028_C12,
2023_2028,birth,,2023_2028_C13,
